id;author;booktitle;cdrom;cite;cite-label;crossref;editor;ee;i;journal;key;mdate;month;note;number;pages;publisher;publtype;rating;reviewid;sub;sup;title;title-bibtex;tt;url;volume;year
1442388;;;;;;;;;;;dblpnote/withdrawn;2013-02-10;;;;;;informal publication;;;;;(paper withdrawn);;;;;
1442389;;;;;;;;;;;dblpnote/retracted;2013-02-12;;;;;;informal publication;;;;;(paper retracted);;;;;
1442390;;;;;;;;;;;dblpnote/duplicate;2013-02-13;;;;;;informal publication;;;;;(duplicate entry was deleted);;;;;
1442391;;;;;;;;;;;dblpnote/neverpublished;2013-02-12;;;;;;informal publication;;;;;(was never published);;;;;
1442392;;;;;;;;;;;dblpnote/ellipsis;2013-02-12;;;;;;informal publication;;;;;…;;;;;
1442393;Markus Müller-Olm;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI02-08;2011-12-29;;;;;;informal publication;;;;;Precise Interprocedural Dependence Analysis of Parallel Programs;;;;02-08;2002
1442394;Peter Gritzmann|Thomas Burger|Victor Klee;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI95-14;2011-12-29;;;;;;informal publication;;;;;Polytope Projection and Projection Polytopes;;;;95-14;1995
1442395;E. Levitin;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI01-08;2011-12-29;;;;;;informal publication;;;;;Reduction of Generalized Semi-Infinite Programming Problems to Semi-Infinite or Piece-Wise Smooth Programming Problems;;;;01-08;2001
1442396;Matthias Heinkenschloss;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI92-24;2011-12-29;;;;;;informal publication;;;;;Numerical Solution of a Semilinear Parabolic Control Problem;;;;92-24;1992
1442397;Belinda B. King;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI97-09;2011-12-29;;;;;;informal publication;;;;;Nonuniform Grids for Reduced Basis Design of Low Order Feedback Controllers for Nonlinear Continuous Systems;;;;97-09;1997
1442398;Carsten Damm|Stasys Jukna;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI95-09;2011-12-29;;;;;;informal publication;;;;;On Multiparity Games for Pointer Jumping;;;;95-09;1995
1442399;Carsten Damm|Christoph Meinel|Matthias Krause 0001|Stephan Waack;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI92-01;2013-12-22;;;;;;informal publication;;;;;Separating Counting Communication Complexity Classes;;;;92-01;1992
1442400;Dieter Baum;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI95-04;2011-12-29;;;;;;informal publication;;;;;Zur strukturellen Stabilität von Kommunikationssystemen - Eine kurze Einführung in die Grundlagen;;;;95-04;1995
1442401;Christoph W. Keßler;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI96-12;2011-12-29;;;;;;informal publication;;;;;Scheduling Expression DAGs for Minimal Register Need;;;;96-12;1996
1442402;Lothar Breuer;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI00-07;2011-12-29;;;;;;informal publication;;;;;On Markov-Additive Jump Processes;;;;00-07;2000
1442403;Ekkehard W. Sachs|Heidi Jäger;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI95-20;2011-12-29;;;;;;informal publication;;;;;Global Convergence of Inexact Reduced SQP Methods;;;;95-20;1995
1442404;Richard Rödler;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI99-09;2011-12-29;;;;;;informal publication;;;1;;On the Rareness of Disturbed Martingales in the Class of all Uniformly L;;;http://www.mathematik.uni-trier.de/preprints/About/FoMaInf_01.html;99-09;1999
1442405;Anna Bernasconi|Carsten Damm|Igor Shparlinski;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI98-21;2011-12-29;;;;;;informal publication;;;;;Circuit and Decision Tree Complexity of Some Number Theoretic Problems;;;;98-21;1998
1442406;D. Prangenberg|Peter Gritzmann|R. J. Gardner;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI96-24;2011-12-29;;;;;;informal publication;;;;;On the Reconstruction of Binary Images from Their Discrete Radon Transforms;;;;96-24;1996
1442407;Jürgen Huschens;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI92-22;2011-12-29;;;;;;informal publication;;;;;On Multiplicative Structure in Quasi-Newton Methods for Nonlinear Equations;;;;92-22;1992
1442408;Anna Slobodová|Christoph Meinel;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI98-25;2011-12-29;;;;;;informal publication;;;;;Accelerating OBDD-Minimization by Means of Structural and Semantical Properties;;;;98-25;1998
1442409;Christoph W. Keßler|Helmut Seidl;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI95-23;2011-12-29;;;;;;informal publication;;;;;Language Support for Synchronous Parallel Critical Sections;;;;95-23;1995
1442410;Peter Gritzmann|R. J. Gardner;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI92-03;2011-12-29;;;;;;informal publication;;;;;Successive Determination and Verification of Polytopes by their X-Rays;;;;92-03;1992
1442411;Harald Luschgy;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI97-08;2011-12-29;;;;;;informal publication;;;;;Complete Families of Invariant Distributions;;;;97-08;1997
1442412;Patrick Justen;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI98-19;2011-12-29;;;;;;informal publication;;;;;Optimal Control of Thermally Coupled Navier-Stokes Equations in Food Industry;;;;98-19;1998
1442413;Dieter Baum;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI03-01;2011-12-29;;;;;;informal publication;;;;;Räumliche Markov-additive Prozesse und Bedienstationen ohne Warteraum;;;;03-01;2003
1442414;Martin Mundhenk;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI99-21;2011-12-29;;;;;;informal publication;;;;;Propositional Proofs and Their Complexity;;;;99-21;1999
1442415;Lothar Breuer;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI98-10;2011-12-29;;;;;;informal publication;;;;;Neue Ergebnisse für BMAPs und räumliche Warteschlangen;;;;98-10;1998
1442416;Martin Gugat;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI94-11;2011-12-29;;;;;;informal publication;;;;;A Fast and Robust Algorithm for a Class of Generalized Fractional Programs;;;;94-11;1994
1442417;Nguyen V. Thoai|Reiner Horst;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI93-15;2011-12-29;;;;;;informal publication;;;;;Constraint Decomposition Algorithms in Global Optimization;;;;93-15;1993
1442418;Dieter Baum;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI96-10;2011-12-29;;;;;;informal publication;;;;;BMAP/G/1-Queues: Properties of the Fundamental-Period-Matrix G;;;;96-10;1996
1442419;Mirjam Dür|Reiner Horst;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI96-38;2011-12-29;;;;;;informal publication;;;;;Lagrange-Duality and Partitioning Techniques in Nonconvex Global Optimization;;;;96-38;1996
1442420;Anna Slobodová|Christoph Meinel;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI96-40;2011-12-29;;;;;;informal publication;;;;;Speeding up Variable Reordering of OBDDs ;;;;96-40;1996
1442421;Lothar Breuer;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI02-02;2011-12-29;;;;;;informal publication;;;;;On the Distribution of càdlàg Processes without Explosions;;;;02-02;2002
1442422;Klaus Lux|Markus Wiegelmann;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI96-30;2011-12-29;;;;;;informal publication;;;;;Determination of Socle Series using the Condensation Method;;;;96-30;1996
1442423;Dieter Baum;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI99-18;2011-12-29;;;;;;informal publication;;;;;On MAPA/G/K/K Stations;;;;99-18;1999
1442424;János Sztrik|Oliver Möller;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI99-06;2011-12-29;;;;;;informal publication;;;;;Stochastic Simulation of Markov Modulated Finite-Source Queues;;;;99-06;1999
1442425;Marco Fahl;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI99-13;2011-12-29;;;;;;informal publication;;;;;Computation of PODs for Fluid Flows with Lanczos Methods;;;http://www.mathematik.uni-trier.de/preprints/About/FoMaInf_13.html;99-13;1999
1442426;Hubertus Th. Jongen|Oliver Stein;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI95-06;2011-12-29;;;;;;informal publication;;;;;On Generic One-Parametric Semi-Infinite Optimization;;;;95-06;1995
1442427;Alexander Kaplan|Rainer Tichatschke;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI01-20;2011-12-29;;;;;;informal publication;;;;;Interior Proximal Method for Variational Inequalities: Case of Non-paramonotone Operators;;;;01-20;2001
1442428;Peter Gritzmann|Thomas Burger;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI96-08;2011-12-29;;;;;;informal publication;;;;;Polytopes in Combinatorial Optimization;;;;96-08;1996
1442429;Carsten Damm|Jiri Sgall|Stasys Jukna;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI95-17;2011-12-29;;;;;;informal publication;;;;;Some Bounds on Multiparty Communication Complexity of Pointer Jumping;;;;95-17;1995
1442430;;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI92-17;2011-12-29;;;;;;informal publication;;;;;18. Workshop über Komplexitätstheorie, effiziente Algorithmen und Datenstrukturen, Universität Trier, 20. Oktober 1992 (Abstracts);;;;92-17;1992
1442431;Alexander Kaplan|Rainer Tichatschke;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI01-01;2011-12-29;;;;;;informal publication;;;;;Non-quadratic Proximal Regularization with Application to Variational Inequalities in Hilbert Spaces;;;;01-01;2001
1442432;Helmut Seidl;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI96-05;2011-12-29;;;;;;informal publication;;;;;Fast and Simple Nested Fixpoints;;;;96-05;1996
1442433;Reiner Horst;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI96-06;2011-12-29;;;;;;informal publication;;;;;On Generalized Bisection of N-Simplices;;;;96-06;1996
1442434;M. Nast|Nguyen V. Thoai|Reiner Horst;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI94-08;2011-12-29;;;;;;informal publication;;;;;A New LP-Bound in Multivariate Lipschitz Optimization: Application to Unconstrained and Linearly Constrained Problems and to Systems of Inequalities;;;;94-08;1994
1442435;Ekkehard W. Sachs|Tankred Rautert;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI95-12;2011-12-29;;;;;;informal publication;;;;;Computational Design of Optimal Output Feedback Controllers;;;;95-12;1995
1442436;S. Rotin;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI00-08;2011-12-29;;;;;;informal publication;;;;;Reduction of Some Optimal Control Problems with Variational Inequalities to Ill-Posed Optimal Control Problems with Linear State Equations;;;;00-08;2000
1442437;Subhendu Bikash Hazra|Volker Schulz;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI02-23;2011-12-29;;;;;;informal publication;;;;;Simultaneous Pseudo-Timestepping for PDE-model Based Optimization Problems;;;;02-23;2002
1442438;Alexander Kaplan|Rainer Tichatschke;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI96-27;2011-12-29;;;;;;informal publication;;;;;Proximal Interior Point Approach in Convex Programming;;;;96-27;1996
1442439;John Westwater|Peter Gritzmann|Victor Klee;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI92-26;2011-12-29;;;;;;informal publication;;;;;Polytope Containment and Determination by Linear Probes;;;;92-26;1992
1442440;Dieter Baum;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI96-22;2011-12-29;;;;;;informal publication;;;;;Convolution Algorithms for BMAP/G/1-Queues;;;;96-22;1996
1442441;Harald Luschgy|Siegfried Graf;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI02-05;2011-12-29;;;;;;informal publication;;;;;Functional Quantization and Small Ball Probabilities for Gaussian Processes;;;;02-05;2002
1442442;E. Levitin;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI96-35;2011-12-29;;;;;;informal publication;;;;;On Local Convex Majorizing Approximations of Generalized Semi-Infinite Programming Problems;;;;96-35;1996
1442443;Christoph Meinel|Stephan Waack;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI94-04;2011-12-29;;;;;;informal publication;;;;;The Möbius Function, Variations Ranks, and Theta(n)-Bounds on the Modular Communication Complexity of the Undirected Graph Connectivity Problem;;;;94-04;1994
1442444;Elena Dubrova|Harald Sack;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI99-23;2011-12-29;;;;;;informal publication;;;;;Probabilistic Verification of Multiple-Valued Functions;;;;99-23;1999
1442445;Peter Gritzmann|Victor Klee;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI93-18;2011-12-29;;;;;;informal publication;;;;;On the Complexity of some Basic Problems in Computational Convexity: 1. Containment Problems;;;;93-18;1993
1442446;Anna Slobodová|Christoph Meinel;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI93-09;2011-12-29;;;;;;informal publication;;;;;Efficient Manipulation of FBDDs by Means of a Modified OBDD-Package;;;;93-09;1993
1442447;Rustam Mubarakzjanov;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI00-13;2011-12-29;;;;;;informal publication;;;;;Lower Bounds for Randomized Branching Programs with a Big OBDD Part;;;;00-13;2000
1442448;Carsten Damm|Markus Holzer;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI94-12;2011-12-29;;;;;;informal publication;;;;;Inductive Counting below LOGSPACE;;;;94-12;1994
1442449;Anna Slobodová|Christoph Meinel;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI96-02;2011-12-29;;;;;;informal publication;;;;;An Adequate Reducibility Concept for Problems Defined in Terms of Ordered Binary Decision Diagrams;;;;96-02;1996
1442450;Jürgen Huschens;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI92-18;2011-12-29;;;;;;informal publication;;;;;On the Use of Product Structure in Secant Methods for Nonlinear Least Squares Problems;;;;92-18;1992
1442451;Nguyen V. Thoai;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI97-24;2011-12-29;;;;;;informal publication;;;;;A Decomposition Method Using Duality Bounds for Nonconvex Optimization;;;;97-24;1997
1442452;Christian Stangier|Christoph Meinel;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI97-28;2011-12-29;;;;;;informal publication;;;;;OBDD-based Verification of Communication Protocols - Methods for the Verification of Data Link Protocols;;;;97-28;1997
1442453;Lothar Breuer;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI02-19;2011-12-29;;;;;;informal publication;;;;;Approximating Semi-Markov Processes by MAPs, with an Application on Queueing Theory;;;;02-19;2002
1442454;Lothar Breuer;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI01-18;2011-12-29;;;;;;informal publication;;;;;Two short notes;;;;01-18;2001
1442455;Christopher Lusena|Judy Goldsmith|Martin Mundhenk;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI00-12;2011-12-29;;;;;;informal publication;;;;;Nonapproximability Results for Partially Observable Markov Decision Processes;;;;00-12;2000
1442456;Peter Gritzmann|R. J. Gardner;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI95-13;2011-12-29;;;;;;informal publication;;;;;Discrete Tomography: Determination of Finite Sets by X-Rays;;;;95-13;1995
1442457;Klaus Jansen;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI93-24;2011-12-29;;;;;;informal publication;;;;;Scheduling and Related Graph Theoretical Problems;;;;93-24;1993
1442458;Lothar Breuer;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI00-11;2011-12-29;;;;;;informal publication;;;;;Operator-Geometric Solutions for the M/G/k Queue and its Variants;;;;00-11;2000
1442459;Helmut Seidl|Markus Müller-Olm|Varmo Vene;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI02-10;2011-12-29;;;;;;informal publication;;;;;Interprocedural Invariants;;;;02-10;2002
1442460;Ulrich Hertrampf;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI93-16;2011-12-29;;;;;;informal publication;;;;;Complexity Classes with Finite Acceptance Types;;;;93-16;1993
1442461;Gerhard J. Woeginger|Klaus Jansen|Petra Scheffler;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI92-23;2011-12-29;;;;;;informal publication;;;;;The Disjoint Cliques Problem;;;;92-23;1992
1442462;Oleg Khamisov;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI97-11;2011-12-29;;;;;;informal publication;;;;;On Optimization Properties of Functions with a Concave Minorant;;;;97-11;1997
1442463;Christian Fecht|Helmut Seidl;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI97-13;2011-12-29;;;;;;informal publication;;;;;Propagating Differences: An Efficient New Fixpoint Algorithm for Distributive Constraint Systems;;;;97-13;1997
1442464;Klaus Jansen;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI96-41;2011-12-29;;;;;;informal publication;;;;;Complexity Results for the Optimum Cost Chromatic Partition Problem;;;;96-41;1996
1442465;Klaus Jansen;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI96-37;2011-12-29;;;;;;informal publication;;;;;Approximation Results for Wavelength Routing in Directed Binary Trees;;;;96-37;1996
1442466;Daniel Görgen|Matthias Transier|Peter Sturm|Wolfgang Effelsberg;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI06-02;2011-12-29;;;;;;informal publication;;;;;Distributed Script - A Mobile Application for Multi-hop Ad-hoc Networks;;;;06-02;2006
1442467;Dieter Baum;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI99-15;2011-12-29;;;;;;informal publication;;;;;Phasentyp-Verteilungen und Matrix-analytische Methoden;;;;99-15;1999
1442468;Christoph Meinel|Wei Zhou;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI03-03;2011-12-29;;;;;;informal publication;;;;;Implement Role-Based Access Control with Attribute Certificates;;;;03-03;2003
1442469;Andreas Brieden|Peter Gritzmann;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI96-28;2011-12-29;;;;;;informal publication;;;;;On Helly's Theorem: Algorithms and Extensions;;;;96-28;1996
1442470;D. G. Larman|Peter Gritzmann|Victor Klee;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI94-01;2011-12-29;;;;;;informal publication;;;;;Largest j-Simplices in n-Polytopes;;;;94-01;1994
1442471;Nguyen V. Thoai;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI96-45;2011-12-29;;;;;;informal publication;;;;;Utility Function Program with or without Explicit Form of Utility Function;;;;96-45;1996
1442472;Nguyen V. Thoai|Reiner Horst;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI93-23;2011-12-29;;;;;;informal publication;;;;;A Decomposition Approach for the Global Minimization of Biconcave Functions over Polytopes;;;;93-23;1993
1442473;Peter Gritzmann|Victor Klee;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI93-06;2011-12-29;;;;;;informal publication;;;;;Computational Complexity of Inner and Outer j-RADII of Polytopes in Finite-Dimensional Normed Spaces;;;;93-06;1993
1442474;Christoph Meinel|Fabio Somenzi|Thorsten Theobald;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI96-42;2011-12-29;;;;;;informal publication;;;;;Linear Sifting of Decision Diagrams;;;;96-42;1996
1442475;Carsten Damm;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI97-21;2011-12-29;;;;;;informal publication;;;;;A Note on Spectral Lower Bound Arguments for Decision Trees;;;;97-21;1997
1442476;Subhendu Bikash Hazra;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI04-07;2011-12-29;;;;;;informal publication;;;;;An Efficient Method for Aerodynamic Shape Optimization;;;;04-07;2004
1442477;Dieter Baum;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI98-03;2011-12-29;;;;;;informal publication;;;;;Zum Gleichgewichtsverhalten von Markov-Prozessen;;;;98-03;1998
1442478;Christoph Meinel|Harald Sack;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI98-28;2011-12-29;;;;;;informal publication;;;;;Xor-OBDDs - a BDD Structure for Probabilistic Verification;;;;98-28;1998
1442479;B. S. Tam|Peter Gritzmann|Victor Klee;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI93-17;2011-12-29;;;;;;informal publication;;;;;Cross-Positive Matrices Revisited;;;;93-17;1993
1442480;Friedemann Leibfritz;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI99-03;2011-12-29;;;;;;informal publication;;;;;Static Output Feedback Design by Using a Newton-SQP Interior Point Method;;;;99-03;1999
1442481;Stasys Jukna;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI94-06;2011-12-29;;;;;;informal publication;;;;;Finite Limits and Lower Bounds for Circuits Size;;;;94-06;1994
1442482;Lothar Breuer;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI02-06;2011-12-29;;;;;;informal publication;;;;;A Piecewise-Deterministic Model for Brownian Motion;;;;02-06;2002
1442483;Alexander Kaplan|Rainer Tichatschke;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI95-18;2011-12-29;;;;;;informal publication;;;;;Proximal Methods in View of Interior-Point-Strategies;;;;95-18;1995
1442484;Christoph Meinel|Jordan Gergov;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI92-10;2011-12-29;;;;;;informal publication;;;;;Efficient Analysis and Manipulation of OBDDs can be Extended to Read-once-only Branching Programs;;;;92-10;1992
1442485;Markus R. Schmidt;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI99-24;2011-12-29;;;;;;informal publication;;;;;Dual Characterization of Super-Hedging Prices in a Currency Market with Proportional Transaction Costs;;;;99-24;1999
1442486;Christoph Meinel|Randal E. Bryant;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI02-20;2011-12-29;;;;;;informal publication;;;;;Ordered Binary Decision Diagrams in Electronic Design Automation;;;;02-20;2002
1442487;L. D. Muu|M. Nast|Reiner Horst;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI93-11;2011-12-29;;;;;;informal publication;;;;;A Branch-and-Bound Decomposition Approach for Solving Quasiconvex-Concave Programs;;;;93-11;1993
1442488;E. Levitin|Rainer Tichatschke;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI96-34;2011-12-29;;;;;;informal publication;;;;;A Branch and Bound Approach for Solving a Class of Generalized Semi-Infinite Programming Problems;;;;96-34;1996
1442489;Carsten Damm|Katja Lenz;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI93-05;2011-12-29;;;;;;informal publication;;;;0;Symmetric Functions in AC;;;;93-05;1993
1442490;Dieter Baum|Igor N. Kovalenko;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI01-13;2011-12-29;;;;;;informal publication;;;;;On Graph Models for Communicating Mobiles in Access Areas;;;;01-13;2001
1442491;Hubertus Th. Jongen|Rainer Hettich;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI94-02;2011-12-29;;;;;;informal publication;;;;;On Continuous Deformations of Semi-Infinite Optimization Problems;;;;94-02;1994
1442492;Jens Hofmann|Kasyap Natarajan|Norbert Th. Müller;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI96-46;2011-12-29;;;;;;informal publication;;;;;Parallel versus Sequential Task-Processing: A New Performance Model in Discrete Time;;;;96-46;1996
1442493;Martin Mundhenk;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI99-22;2011-12-29;;;;;;informal publication;;;;;The complexity of optimal small policies;;;;99-22;1999
1442494;Martin Gugat;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI96-32;2011-12-29;;;;;;informal publication;;;;;A Parametric View to the Mangasarian-Fromovitz Constraint Qualification;;;;96-32;1996
1442495;Lothar Breuer;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI01-10;2011-12-29;;;;;;informal publication;;;;;On the GI/G/k Queue with Lebesgue-Dominated Inter-Arrival Time Distribution;;;;01-10;2001
1442496;Christoph Meinel|Harald Sack;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI97-15;2011-12-29;;;;;;informal publication;;;;;Case Study: Manipulating xor-OBDDs by Means of Signatures;;;;97-15;1997
1442497;Christian Fecht|Helmut Seidl;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI97-06;2011-12-29;;;;;;informal publication;;;;;Interprocedural Analysis Based on PDAs;;;;97-06;1997
1442498;Beniamino Di Martino|Christoph W. Keßler;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI97-23;2011-12-29;;;;;;informal publication;;;;;Two Program Comprehension Tools for Automatic Parallelization: A Comparative Study;;;;97-23;1997
1442499;Richard Rödler;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI99-11;2011-12-29;;;;;;informal publication;;;;;Convergence of Time-Continous Disturbed Martingales and Financial Market Modelling;;;http://www.mathematik.uni-trier.de/preprints/About/FoMaInf_11.html;99-11;1999
1442500;Matthias Heinkenschloss;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI92-16;2011-12-29;;;;;;informal publication;;;;;On the Solution of a Two Ball Trust Region Subproblem;;;;92-16;1992
